date, pm25, o3, no2, so2, co
2020/5/22, 19, 39, 3, 1, 1
2020/5/23, 30, 32, 1, 1, 1
2020/5/24, 24, 24, 1, 1, 1
2020/5/25, 22, 20, 3, 1, 1
2020/5/26, 29, 19, 8, 1, 1
2020/5/27, 22, 28, 2, 1, 1
2020/5/28, 16, 16, 1, 1, 1
2020/5/29, 13, 16, 1, 1, 1
2020/5/30, 16, 32, 3, 1, 
2020/5/31, 13, 24, 2, 1, 
2020/6/1, 9, 25, 5, 1, 
2020/6/2, 14, 30, 7, 1, 1
2020/6/3, 15, 43, 7, 1, 1
2020/6/4, 38, 40, 5, 1, 1
2020/6/5, 37, 35, 4, 1, 1
2020/6/6, 37, 34, 4, 1, 1
2020/6/7, 30, 20, 4, 1, 1
2020/6/8, 16, 24, 7, 1, 1
2020/6/9, 17, 34, 12, 1, 1
2020/6/10, 15, 32, 5, 1, 1
2020/6/11, 36, 26, 2, 1, 1
2020/6/12, 25, 36, 5, 1, 1
2020/6/13, 15, 27, 3, 1, 1
2020/6/14, 10, 17, 2, 1, 1
2020/6/15, 10, 17, 3, 1, 1
2020/6/16, 15, 24, 9, 1, 2
2020/6/17, 22, 29, 10, 1, 2
2020/6/18, 29, 25, 3, 1, 1
2020/6/19, 15, 30, 2, 1, 1
2020/6/20, 22, 39, 1, 1, 1
2020/6/21, 27, 41, 3, 1, 2
2020/6/22, 37, 19, 4, , 1
2020/6/23, 13, 38, 3, 1, 1
2020/6/24, 28, 35, 6, 1, 1
2020/6/25, 37, 40, 6, 1, 1
2020/6/26, 15, 45, 5, 1, 1
2020/6/27, 28, 39, 4, 1, 1
2020/6/28, 27, 33, 3, 1, 1
2020/6/29, 23, 28, 11, 1, 2
2020/6/30, 13, 26, 6, 1, 1
2020/7/1, 8, 25, 8, 1, 1
2020/1/2, 16, 21, 12, 1, 2
2020/1/3, 21, 15, 18, 1, 3
2020/1/4, 36, 16, 18, 1, 4
2020/1/5, 39, 23, 4, 1, 1
2020/1/6, 10, 14, 18, 1, 3
2020/1/7, 22, 21, 16, 1, 2
2020/1/8, 16, 23, 11, 1, 2
2020/1/9, 25, 19, 12, 1, 2
2020/1/10, 18, 21, 15, 1, 2
2020/1/11, 22, 31, 2, 1, 1
2020/1/12, 22, 27, 6, 1, 1
2020/1/13, 13, 18, 10, 1, 2
2020/1/14, 25, 10, 12, 1, 2
2020/1/15, 31, 17, 15, 1, 3
2020/1/16, 31, 20, 14, 1, 3
2020/1/17, 20, 28, 6, 1, 1
2020/1/18, 18, 23, 13, 1, 2
2020/1/19, 25, 22, 16, 1, 3
2020/1/20, 33, 26, 9, 1, 1
2020/1/21, 19, 24, 18, 1, 3
2020/1/22, 30, 21, 30, 1, 5
2020/1/23, 42, 20, 28, 1, 4
2020/1/24, 47, 18, 28, 1, 4
2020/1/25, 53, 27, 8, 1, 2
2020/1/26, 22, 23, 5, 1, 2
2020/1/27, 12, 14, 8, 1, 2
2020/1/28, 19, 27, 8, 1, 1
2020/1/29, 13, 27, 7, 1, 1
2020/1/30, 16, 20, 18, 1, 2
2020/1/31, 22, 26, 19, 1, 3
2020/2/1, 32, 18, 19, 1, 3
2020/2/2, 36, 18, 14, 1, 3
2020/2/3, 46, 18, 18, 1, 3
2020/2/4, 37, 10, 30, 1, 6
2020/2/5, 43, 20, 18, 1, 2
2020/2/6, 24, 18, 16, , 2
2020/2/7, 14, 23, 15, , 2
2020/2/8, 13, 27, 4, , 1
2020/2/9, 17, 24, 14, , 2
2020/2/10, 22, 26, 9, , 2
2020/2/11, 24, 3, 21, , 3
2020/2/12, 41, 26, 10, , 2
2020/2/13, 21, 14, 27, , 4
2020/2/14, 29, 27, 6, , 1
2020/2/15, 14, 26, 9, , 1
2020/2/16, 21, 25, 11, , 2
2020/2/17, 30, 29, 14, , 2
2020/2/18, 39, 23, 14, , 2
2020/2/19, 18, 28, 8, , 1
2020/2/20, 22, 26, 9, , 1
2020/2/21, 17, 24, 11, , 2
2020/2/22, 26, 31, 10, , 2
2020/2/23, 31, 35, 13, , 2
2020/2/24, 41, 36, 13, 1, 2
2020/2/25, 36, 23, 18, 1, 2
2020/2/26, 41, 29, 16, , 2
2020/2/27, 37, 32, 6, , 1
2020/2/28, 11, 30, 5, , 1
